000652.sz,泰达股份
300012.sz,华测检测
600803.sh,新奥股份
000425.sz,徐工机械
300483.sz,沃施股份
600031.sh,三一重工
000998.sz,隆平高科
600598.sh,北大荒
601952.sh,苏垦农发
000538.sz,云南白药
600332.sh,白云山
600436.sh,片仔癀
600030.sh,中信证券
600837.sh,海通证券
601211.sh,国泰君安
000488.sz,晨鸣纸业
002078.sz,太阳纸业
600567.sh,山鹰纸业
600639.sh,浦东金桥
600648.sh,外高桥
600663.sh,陆家嘴
600362.sh,江西铜业
601899.sh,紫金矿业
603993.sh,洛阳钼业
000858.sz,五粮液
002304.sz,洋河股份
600519.sh,贵州茅台
601288.sh,农业银行
601398.sh,工商银行
601939.sh,建设银行
300349.sz,金卡智能
300417.sz,南华仪器
300567.sz,精测电子
600998.sh,九州通
601607.sh,上海医药
603939.sh,益丰药房
300015.sz,爱尔眼科
300760.sz,迈瑞医疗
603259.sh,药明康德
002234.sz,民和股份
002714.sz,牧原股份
300498.sz,温氏股份
002340.sz,格林美
600516.sh,方大炭素
603260.sh,合盛硅业
002120.sz,韵达股份
002352.sz,顺丰控股
600153.sh,建发股份
000039.sz,中集集团
300450.sz,先导智能
601100.sh,恒立液压
300628.sz,亿联网络
600487.sh,亨通光电
600522.sh,中天科技
300413.sz,芒果超媒
300578.sz,会畅通讯
600050.sh,中国联通
000810.sz,创维数字
002429.sz,兆驰股份
600060.sh,海信视像
000895.sz,双汇发展
600887.sh,伊利股份
603288.sh,海天味业
000923.sz,河钢资源
601857.sh,中国石油
603505.sh,金石资源
000661.sz,长春高新
300122.sz,智飞生物
600196.sh,复星医药
600008.sh,首创股份
601139.sh,深圳燃气
601158.sh,重庆水务
002594.sz,比亚迪
600104.sh,上汽集团
601238.sh,广汽集团
000338.sz,潍柴动力
600660.sh,福耀玻璃
600741.sh,华域汽车
002008.sz,大族激光
002869.sz,金溢科技
300014.sz,亿纬锂能
300021.sz,大禹节水
600195.sh,中牧股份
600201.sh,生物股份
000876.sz,新希望
002311.sz,海大集团
600298.sh,安琪酵母
601088.sh,中国神华
601225.sh,陕西煤业
601918.sh,新集能源
002091.sz,江苏国泰
600710.sh,苏美达
600755.sh,厦门国贸
600655.sh,豫园股份
601828.sh,美凯龙
601933.sh,永辉超市
600258.sh,首旅酒店
600754.sh,锦江酒店
601007.sh,金陵饭店
000524.sz,岭南控股
300144.sz,宋城演艺
601888.sh,中国国旅
000025.sz,特力A
600297.sh,广汇汽车
603377.sh,东方时尚
601186.sh,中国铁建
601390.sh,中国中铁
601668.sh,中国建筑
002162.sz,悦心健康
600585.sh,海螺水泥
601992.sh,金隅集团
600612.sh,老凤祥
603833.sh,欧派家居
603899.sh,晨光文具
000938.sz,紫光股份
300209.sz,天泽信息
601360.sh,三六零
000977.sz,浪潮信息
000997.sz,新大陆
002152.sz,广电运通
002805.sz,丰元股份
600028.sh,中国石化
600256.sh,广汇能源
600009.sh,上海机场
600029.sh,南方航空
601111.sh,中国国航
000035.sz,中国天楹
000967.sz,盈峰环境
300070.sz,碧水源
000963.sz,华东医药
002001.sz,新和成
600276.sh,恒瑞医药
002601.sz,龙蟒佰利
600352.sh,浙江龙盛
600989.sh,宝丰能源
002080.sz,中材科技
600176.sh,中国巨石
600309.sh,万华化学
000703.sz,恒逸石化
002493.sz,荣盛石化
600346.sh,恒力石化
002179.sz,中航光电
600482.sh,中国动力
600893.sh,航发动力
000100.sz,TCL科技
000725.sz,京东方A
600703.sh,三安光电
001965.sz,招商公路
600377.sh,宁沪高速
601006.sh,大秦铁路
002627.sz,宜昌交运
600611.sh,大众交通
600650.sh,锦江投资
600018.sh,上港集团
600026.sh,中远海能
601919.sh,中远海控
000708.sz,中信特钢
000932.sz,华菱钢铁
600019.sh,宝钢股份
002563.sz,森马服饰
600177.sh,雅戈尔
600398.sh,海澜之家
002105.sz,信隆健康
601766.sh,中国中车
688009.sh,中国通号
000726.sz,鲁泰A
002042.sz,华孚时尚
600987.sh,航民股份
000002.sz,万科A
600048.sh,保利地产
600606.sh,绿地控股
002415.sz,海康威视
300686.sz,智动力
601138.sh,工业富联
300750.sz,宁德时代
600732.sh,ST爱旭
601727.sh,上海电气
002015.sz,协鑫能科
600011.sh,华能国际
600900.sh,长江电力
002027.sz,分众传媒
002555.sz,三七互娱
002607.sz,中公教育
002738.sz,中矿资源
600339.sh,中油工程
600968.sh,海油发展
601318.sh,中国平安
601628.sh,中国人寿
603093.sh,南华期货
002191.sz,劲嘉股份
002831.sz,裕同科技
601515.sh,东风股份
002938.sz,鹏鼎控股
603160.sh,汇顶科技
688008.sh,澜起科技
000333.sz,美的集团
000651.sz,格力电器
600690.sh,海尔智家
